dataset,mean,stdev
0, 1547.9888, 1.9448408868562905
1, 1548.1503425, 2.0282597860216893
2, 1547.70043, 0.9568965553517769
3, 1547.9329375, 2.0409304216604056
4, 1548.20491, 1.985105347330464
