window,mean latency
212,1549.3144
213,1549.4188
214,1549.0486
215,1548.8396
216,1548.4618000000003
217,1550.691
218,1549.1038
219,1549.8011999999999
220,1548.7001999999998
221,1548.9046
222,1548.733
223,1549.5192000000002
224,1549.0014000000003
225,1549.4048
226,1549.4706
227,1548.5088
228,1548.9126
229,1548.2794
230,1548.8108000000002
231,1551.3492
232,1548.8586000000003
233,1548.6456
234,1550.3326
235,1548.664
236,1549.1169999999997
237,1548.8676
238,1548.5762
239,1550.5396
240,1548.5772000000002
241,1548.5837999999999
242,1548.8488
243,1548.7540000000001
244,1548.8852000000002
245,1549.0403999999999
246,1548.5088
247,1548.8284000000003
248,1548.59
249,1548.7732
250,1548.7631999999999
251,1550.7206
252,1548.7312
253,1548.6688
254,1548.6816
255,1549.8294
256,1548.7254
257,1548.56
258,1549.0148000000002
259,1548.917
260,1548.6721999999997
261,1548.9776000000002
262,1547.8362000000002
263,1548.6199999999997
264,1549.0729999999999
265,1549.1858
266,1548.1758
267,1548.5446
268,1550.1572
269,1548.8075999999996
270,1548.8294
271,1552.5030000000002
272,1548.6272
273,1548.7484
274,1548.565
275,1549.3258
276,1548.6767999999997
277,1548.3982
278,1548.741
279,1548.623
280,1548.5929999999998
281,1548.685
282,1550.9236
283,1548.6748
284,1548.416
285,1551.1126000000002
286,1548.9724
287,1550.5318
288,1548.752
289,1549.4234000000001
290,1550.4180000000001
291,1550.0696
292,1548.8826000000001
293,1548.4144000000001
294,1548.7582
295,1549.1455999999998
296,1548.5462
297,1548.5495999999998
298,1548.616
299,1548.8514
300,1549.2486000000001
301,1548.5416
302,1548.8747999999998
303,1550.0948
304,1548.7206
305,1549.3629999999998
306,1548.4832000000001
307,1548.8894
308,1548.6754
309,1548.438
310,1550.207
311,1549.7094
312,1548.2718
313,1548.7468000000001
314,1548.4113999999997
315,1548.6076
316,1548.6416000000002
317,1549.94
318,1548.5782
319,1550.5628000000002
320,1548.5086000000001
321,1548.4072
322,1548.7697999999998
323,1548.5259999999998
324,1548.5966
325,1549.0520000000001
326,1549.1565999999998
327,1549.2060000000001
328,1548.7525999999998
329,1550.4832
330,1548.7418
331,1548.6889999999999
332,1549.8278000000003
333,1549.5054000000002
334,1549.1021999999998
335,1552.0628000000002
336,1548.8716
337,1548.3054000000002
338,1548.7682
339,1549.2096000000001
340,1548.4286
341,1549.0427999999997
342,1549.4794
343,1548.7931999999998
344,1549.014
345,1548.6244
346,1549.9481999999998
347,1548.4100000000003
348,1549.1146
349,1548.7653999999998
350,1549.3018
351,1550.3301999999999
352,1551.1296
353,1548.3372000000002
354,1548.565
355,1548.4166
356,1549.5728
357,1548.5512
358,1549.1196
359,1548.5949999999998
360,1548.5408000000002
361,1548.3756
362,1548.7082
363,1549.4155999999998
364,1548.4954000000002
365,1549.0666
366,1548.6202
367,1550.123
368,1549.7228
369,1550.4138
370,1548.762
371,1548.2922000000003
372,1548.9704000000002
373,1548.5529999999999
374,1548.4702
375,1548.5970000000002
376,1549.3401999999999
377,1548.4407999999999
378,1548.7972
379,1549.2848
380,1550.6008000000002
381,1549.4856
382,1548.3432
383,1548.7212
384,1548.4514
385,1548.5746
386,1548.6104
387,1548.4352
388,1548.8806
389,1548.4574
390,1548.3716
391,1548.4108
392,1549.0629999999999
393,1548.9532000000002
394,1549.5882
395,1548.9744
396,1548.7516
397,1550.7776
398,1548.9438000000002
399,1548.6725999999999
400,1548.7712000000001
401,1548.5942
402,1548.5410000000002
403,1549.1147999999998
404,1548.5896
405,1548.5631999999998
406,1548.8763999999999
407,1548.8593999999998
408,1548.7576000000001
409,1548.1178
410,1548.6313999999998
411,1549.6912
412,1548.8094
413,1548.5736000000002
414,1550.2648000000002
415,1548.3444
416,1548.5567999999998
417,1548.3618
418,1548.514
419,1549.1242000000002
420,1549.1915999999999
421,1548.4556
422,1548.732
423,1548.4956000000002
424,1549.7336
425,1550.1954
426,1548.5267999999996
427,1548.5462
428,1548.8872
429,1548.7582000000002
430,1548.583
431,1549.8242000000002
432,1548.6488
433,1548.7828000000002
434,1548.6074
435,1548.4845999999998
436,1548.3876
437,1549.9424000000001
438,1548.4188
439,1548.4375999999997
440,1549.3946
441,1548.9244
442,1548.6385999999998
443,1548.41
444,1548.5916000000002
445,1550.4196
446,1548.6534
447,1551.1118000000001
448,1549.4592
449,1548.5618
450,1548.3036
451,1548.4764
452,1548.4758000000002
453,1548.282
454,1549.9366
455,1548.4964
456,1549.9569999999999
457,1548.5466000000004
458,1549.2282
459,1548.8345999999997
460,1548.6079999999997
461,1549.5815999999998
462,1549.3518
463,1548.6182000000001
464,1549.016
465,1549.9872
466,1549.7459999999999
467,1548.2842
468,1548.5639999999999
469,1550.8746
470,1549.0172
471,1549.2354
472,1550.2616
473,1548.5718
474,1548.5152000000003
475,1548.2040000000002
476,1548.6163999999999
477,1550.5578
478,1548.4261999999999
479,1548.8670000000002
480,1548.7804
481,1549.1038
482,1549.9178
483,1548.5451999999998
484,1548.4386
485,1548.6762
486,1548.7058000000002
487,1548.3380000000002
488,1549.913
489,1548.6014
490,1549.8301999999999
491,1548.2941999999998
492,1548.734
493,1548.595
494,1548.9388000000001
495,1548.5796
496,1548.4952
497,1548.7386000000001
498,1550.4538
499,1549.9404
500,1551.0765999999999
501,1549.0524
502,1550.0896000000002
503,1549.6218
504,1549.037
505,1548.478
506,1548.7872
507,1549.8624
508,1548.5086000000001
509,1548.4263999999998
510,1549.1901999999998
511,1549.1526
512,1549.0630000000003
513,1548.8276
514,1548.8266
515,1551.1426000000001
516,1548.8318
517,1548.5246
518,1548.8456
519,1548.8572
520,1549.6354
521,1548.4062
522,1548.355
523,1548.3764
524,1550.2986
525,1548.1938000000002
526,1548.3940000000002
527,1548.8514
528,1548.6094000000003
529,1548.4486000000002
530,1550.1964
531,1548.7314000000001
532,1550.3241999999998
533,1548.6234
534,1549.9923999999999
535,1549.155
536,1548.5893999999998
537,1548.8935999999999
538,1548.5088
539,1548.4694
540,1548.5498000000002
541,1549.1546
542,1548.666
543,1548.8818
544,1548.5854
545,1550.4028
546,1548.5013999999999
547,1548.6871999999998
548,1548.5993999999998
549,1549.5508
550,1549.0279999999998
551,1551.3164000000002
552,1549.5643999999998
553,1549.0700000000002
554,1548.784
555,1548.8392
556,1549.15
557,1549.1080000000002
558,1549.571
559,1548.5328
560,1548.8574
561,1550.4136000000003
562,1548.5395999999998
563,1548.741
564,1548.9454
565,1548.5394000000001
566,1550.5152
567,1550.2721999999999
568,1549.73
569,1548.4764
570,1548.802
571,1548.6698000000001
572,1548.7008
573,1548.8266
574,1548.3138
575,1549.5932
576,1550.194
577,1550.9671999999998
578,1548.6034000000004
579,1548.9242
580,1548.4858
581,1548.3673999999999
582,1549.5811999999999
583,1550.2998
584,1548.7804
585,1550.4706000000003
586,1548.4622
587,1549.105
588,1548.2710000000002
589,1548.6506000000002
590,1548.4274
591,1548.5726
592,1551.5582000000002
593,1548.5626
594,1548.5768
595,1549.6298000000002
596,1549.4764
597,1548.3290000000002
598,1549.7731999999999
599,1548.5584000000001
600,1549.78
601,1548.2822
602,1548.6526
603,1548.0788000000002
604,1548.3277999999998
605,1551.0834
606,1548.5120000000002
607,1548.8129999999999
608,1548.129
609,1549.5872
610,1548.4805999999999
611,1548.5968
