dataset,mean,stdev
0, 1548.3422525, 1.330881462569939
1, 1548.4242225, 1.8372110832467667
2, 1548.38871, 1.6249303870649427
3, 1522.87741, 2.095452814583372
4, 1535.14456, 2.9614758473413145
