dataset,mean,stdev
0, 1549.03763, 1.831466129514521
1, 1549.2086975, 1.931869457285801
2, 1548.878185, 1.1827110591342664
3, 1548.948555, 1.8304107437134851
4, 1549.15601, 1.5417958850892577
