window,latency
0,2020-10-19 10:37:59.981044
1,2020-10-19 10:38:01.000329
2,2020-10-19 10:38:01.763770
3,2020-10-19 10:38:02.731406
4,2020-10-19 10:38:03.611986
5,2020-10-19 10:38:04.515521
6,2020-10-19 10:38:05.385436
7,2020-10-19 10:38:06.278080
8,2020-10-19 10:38:07.153898
9,2020-10-19 10:38:08.183528
10,2020-10-19 10:38:09.202310
11,2020-10-19 10:38:10.155033
12,2020-10-19 10:38:11.027459
13,2020-10-19 10:38:11.751372
14,2020-10-19 10:38:12.469693
15,2020-10-19 10:38:13.206751
16,2020-10-19 10:38:14.002045
17,2020-10-19 10:38:14.728644
18,2020-10-19 10:38:15.494125
19,2020-10-19 10:38:16.246219
20,2020-10-19 10:38:16.974808
21,2020-10-19 10:38:17.754170
22,2020-10-19 10:38:18.501558
23,2020-10-19 10:38:19.280010
24,2020-10-19 10:38:20.019523
25,2020-10-19 10:38:20.767619
26,2020-10-19 10:38:21.496861
27,2020-10-19 10:38:22.301449
28,2020-10-19 10:38:23.106292
29,2020-10-19 10:38:24.070954
30,2020-10-19 10:38:24.795658
31,2020-10-19 10:38:25.693652
32,2020-10-19 10:38:26.675419
33,2020-10-19 10:38:27.622715
34,2020-10-19 10:38:28.368429
35,2020-10-19 10:38:29.117515
36,2020-10-19 10:38:29.886022
37,2020-10-19 10:38:30.620540
38,2020-10-19 10:38:31.339804
39,2020-10-19 10:38:32.085745
40,2020-10-19 10:38:32.892287
41,2020-10-19 10:38:33.672921
42,2020-10-19 10:38:34.438053
43,2020-10-19 10:38:35.151729
44,2020-10-19 10:38:35.869876
45,2020-10-19 10:38:36.589574
46,2020-10-19 10:38:37.303281
47,2020-10-19 10:38:38.086904
48,2020-10-19 10:38:38.870121
49,2020-10-19 10:38:39.623822
50,2020-10-19 10:38:40.383111
51,2020-10-19 10:38:41.095974
52,2020-10-19 10:38:41.872293
53,2020-10-19 10:38:42.552282
54,2020-10-19 10:38:43.263951
55,2020-10-19 10:38:44.023712
56,2020-10-19 10:38:44.756004
57,2020-10-19 10:38:45.561631
58,2020-10-19 10:38:46.279583
59,2020-10-19 10:38:46.984056
60,2020-10-19 10:38:47.750745
61,2020-10-19 10:38:48.453978
62,2020-10-19 10:38:49.151239
63,2020-10-19 10:38:49.897989
64,2020-10-19 10:38:50.653976
65,2020-10-19 10:38:51.506726
66,2020-10-19 10:38:52.211037
67,2020-10-19 10:38:52.965815
68,2020-10-19 10:38:53.708361
69,2020-10-19 10:38:54.546884
70,2020-10-19 10:38:55.231811
71,2020-10-19 10:38:55.979804
72,2020-10-19 10:38:56.758766
73,2020-10-19 10:38:57.478391
74,2020-10-19 10:38:58.275640
75,2020-10-19 10:38:58.989655
76,2020-10-19 10:38:59.692501
77,2020-10-19 10:39:00.440909
78,2020-10-19 10:39:01.171724
79,2020-10-19 10:39:01.930150
80,2020-10-19 10:39:02.645649
81,2020-10-19 10:39:03.428483
82,2020-10-19 10:39:04.205459
83,2020-10-19 10:39:04.896107
84,2020-10-19 10:39:05.583302
85,2020-10-19 10:39:06.314323
86,2020-10-19 10:39:07.145396
87,2020-10-19 10:39:07.874230
88,2020-10-19 10:39:08.588287
89,2020-10-19 10:39:09.352992
90,2020-10-19 10:39:10.048375
91,2020-10-19 10:39:10.776166
92,2020-10-19 10:39:11.572253
93,2020-10-19 10:39:12.295195
