window,latency
0,2020-10-19 08:59:26.169911
1,2020-10-19 08:59:26.905677
2,2020-10-19 08:59:27.815339
3,2020-10-19 08:59:28.827511
4,2020-10-19 08:59:29.762913
5,2020-10-19 08:59:30.651310
6,2020-10-19 08:59:31.835227
7,2020-10-19 08:59:32.671169
8,2020-10-19 08:59:33.445611
9,2020-10-19 08:59:34.166868
10,2020-10-19 08:59:34.883772
11,2020-10-19 08:59:35.589287
12,2020-10-19 08:59:36.281164
13,2020-10-19 08:59:36.973312
14,2020-10-19 08:59:37.686017
15,2020-10-19 08:59:38.403748
16,2020-10-19 08:59:39.165558
17,2020-10-19 08:59:39.889654
18,2020-10-19 08:59:40.638379
19,2020-10-19 08:59:41.383569
20,2020-10-19 08:59:42.099682
21,2020-10-19 08:59:42.842923
22,2020-10-19 08:59:43.573892
23,2020-10-19 08:59:44.411261
24,2020-10-19 08:59:45.126953
25,2020-10-19 08:59:45.841135
26,2020-10-19 08:59:46.567267
27,2020-10-19 08:59:47.320519
28,2020-10-19 08:59:48.064116
29,2020-10-19 08:59:48.796305
30,2020-10-19 08:59:49.620808
31,2020-10-19 08:59:50.354418
32,2020-10-19 08:59:51.073635
33,2020-10-19 08:59:51.823258
34,2020-10-19 08:59:52.577196
35,2020-10-19 08:59:53.337211
36,2020-10-19 08:59:54.155164
37,2020-10-19 08:59:54.884433
38,2020-10-19 08:59:55.607882
39,2020-10-19 08:59:56.325123
40,2020-10-19 08:59:57.133683
41,2020-10-19 08:59:57.879931
42,2020-10-19 08:59:58.804031
43,2020-10-19 08:59:59.534923
44,2020-10-19 09:00:00.268239
45,2020-10-19 09:00:00.990816
46,2020-10-19 09:00:01.758054
47,2020-10-19 09:00:02.478251
48,2020-10-19 09:00:03.279382
49,2020-10-19 09:00:04.191706
50,2020-10-19 09:00:04.930250
51,2020-10-19 09:00:05.660561
52,2020-10-19 09:00:06.656952
53,2020-10-19 09:00:07.404244
54,2020-10-19 09:00:08.484832
55,2020-10-19 09:00:09.468144
56,2020-10-19 09:00:10.320100
57,2020-10-19 09:00:11.057367
58,2020-10-19 09:00:11.778740
59,2020-10-19 09:00:12.490562
60,2020-10-19 09:00:13.208332
61,2020-10-19 09:00:13.950785
62,2020-10-19 09:00:14.673879
63,2020-10-19 09:00:15.485621
64,2020-10-19 09:00:16.207133
65,2020-10-19 09:00:16.926669
66,2020-10-19 09:00:17.655974
67,2020-10-19 09:00:18.388321
68,2020-10-19 09:00:19.130299
69,2020-10-19 09:00:19.865580
70,2020-10-19 09:00:20.605689
71,2020-10-19 09:00:21.351433
72,2020-10-19 09:00:22.100023
73,2020-10-19 09:00:22.848005
74,2020-10-19 09:00:23.582431
75,2020-10-19 09:00:24.319831
76,2020-10-19 09:00:25.065292
77,2020-10-19 09:00:25.807675
78,2020-10-19 09:00:26.577685
79,2020-10-19 09:00:27.310789
80,2020-10-19 09:00:28.039155
81,2020-10-19 09:00:28.764454
82,2020-10-19 09:00:29.498042
83,2020-10-19 09:00:30.234265
84,2020-10-19 09:00:30.954805
85,2020-10-19 09:00:31.684439
86,2020-10-19 09:00:32.407720
87,2020-10-19 09:00:33.143382
88,2020-10-19 09:00:33.883585
89,2020-10-19 09:00:34.628492
90,2020-10-19 09:00:35.368899
91,2020-10-19 09:00:36.107547
92,2020-10-19 09:00:36.930855
93,2020-10-19 09:00:37.693168
94,2020-10-19 09:00:38.454674
95,2020-10-19 09:00:39.199988
96,2020-10-19 09:00:39.963547
97,2020-10-19 09:00:40.701770
98,2020-10-19 09:00:41.456186
99,2020-10-19 09:00:42.244119
100,2020-10-19 09:00:43.017120
101,2020-10-19 09:00:43.748718
102,2020-10-19 09:00:44.480013
103,2020-10-19 09:00:45.209284
104,2020-10-19 09:00:45.952998
105,2020-10-19 09:00:46.708128
106,2020-10-19 09:00:47.563899
107,2020-10-19 09:00:48.454736
108,2020-10-19 09:00:49.205223
109,2020-10-19 09:00:49.939848
110,2020-10-19 09:00:50.677511
111,2020-10-19 09:00:51.412104
112,2020-10-19 09:00:52.220274
113,2020-10-19 09:00:52.960484
114,2020-10-19 09:00:53.699191
115,2020-10-19 09:00:54.450062
116,2020-10-19 09:00:55.188365
117,2020-10-19 09:00:55.953201
118,2020-10-19 09:00:56.794102
119,2020-10-19 09:00:57.575780
120,2020-10-19 09:00:58.526317
121,2020-10-19 09:00:59.265667
122,2020-10-19 09:00:59.985401
123,2020-10-19 09:01:00.709968
124,2020-10-19 09:01:01.433751
125,2020-10-19 09:01:02.174655
126,2020-10-19 09:01:02.962458
127,2020-10-19 09:01:03.684851
128,2020-10-19 09:01:04.421886
129,2020-10-19 09:01:05.211386
130,2020-10-19 09:01:05.930846
131,2020-10-19 09:01:06.654824
132,2020-10-19 09:01:07.384833
133,2020-10-19 09:01:08.228280
134,2020-10-19 09:01:08.950466
135,2020-10-19 09:01:09.681509
136,2020-10-19 09:01:10.448727
137,2020-10-19 09:01:11.166297
138,2020-10-19 09:01:11.893356
139,2020-10-19 09:01:12.630567
140,2020-10-19 09:01:13.454329
141,2020-10-19 09:01:14.170627
142,2020-10-19 09:01:14.904086
143,2020-10-19 09:01:15.624213
144,2020-10-19 09:01:16.344485
145,2020-10-19 09:01:17.062289
146,2020-10-19 09:01:17.792839
147,2020-10-19 09:01:18.536040
148,2020-10-19 09:01:19.279959
149,2020-10-19 09:01:20.012468
150,2020-10-19 09:01:20.767318
151,2020-10-19 09:01:21.496575
152,2020-10-19 09:01:22.228460
153,2020-10-19 09:01:23.013661
154,2020-10-19 09:01:23.735903
155,2020-10-19 09:01:24.545316
156,2020-10-19 09:01:25.288288
157,2020-10-19 09:01:26.033702
158,2020-10-19 09:01:26.789189
159,2020-10-19 09:01:27.547537
160,2020-10-19 09:01:28.286037
161,2020-10-19 09:01:29.015458
162,2020-10-19 09:01:29.765888
163,2020-10-19 09:01:30.502671
164,2020-10-19 09:01:31.245366
165,2020-10-19 09:01:32.048466
166,2020-10-19 09:01:32.814835
167,2020-10-19 09:01:33.562568
168,2020-10-19 09:01:34.305771
169,2020-10-19 09:01:35.108048
170,2020-10-19 09:01:35.846118
171,2020-10-19 09:01:36.590550
172,2020-10-19 09:01:37.345847
173,2020-10-19 09:01:38.158653
174,2020-10-19 09:01:38.881849
175,2020-10-19 09:01:39.700722
176,2020-10-19 09:01:40.617266
177,2020-10-19 09:01:41.363076
178,2020-10-19 09:01:42.111931
179,2020-10-19 09:01:42.857590
180,2020-10-19 09:01:43.806405
181,2020-10-19 09:01:44.782483
182,2020-10-19 09:01:45.868839
183,2020-10-19 09:01:47.220653
184,2020-10-19 09:01:48.713115
185,2020-10-19 09:01:49.606653
186,2020-10-19 09:01:50.562624
187,2020-10-19 09:01:51.437003
188,2020-10-19 09:01:52.208973
189,2020-10-19 09:01:52.987631
190,2020-10-19 09:01:53.714220
191,2020-10-19 09:01:54.453792
192,2020-10-19 09:01:55.274832
193,2020-10-19 09:01:56.005836
194,2020-10-19 09:01:56.775701
195,2020-10-19 09:01:57.506363
196,2020-10-19 09:01:58.310766
197,2020-10-19 09:01:59.043884
198,2020-10-19 09:01:59.771627
199,2020-10-19 09:02:00.517253
200,2020-10-19 09:02:01.249541
201,2020-10-19 09:02:01.976815
202,2020-10-19 09:02:02.700257
203,2020-10-19 09:02:03.420281
204,2020-10-19 09:02:04.161390
205,2020-10-19 09:02:04.896282
206,2020-10-19 09:02:05.627246
207,2020-10-19 09:02:06.367719
208,2020-10-19 09:02:07.125373
209,2020-10-19 09:02:07.849363
210,2020-10-19 09:02:08.562071
211,2020-10-19 09:02:09.278323
212,2020-10-19 09:02:10.028984
213,2020-10-19 09:02:10.782515
214,2020-10-19 09:02:11.517538
215,2020-10-19 09:02:12.238803
216,2020-10-19 09:02:13.047157
217,2020-10-19 09:02:13.775438
218,2020-10-19 09:02:14.518126
219,2020-10-19 09:02:15.259068
220,2020-10-19 09:02:16.022651
221,2020-10-19 09:02:16.764130
222,2020-10-19 09:02:17.509231
223,2020-10-19 09:02:18.307744
224,2020-10-19 09:02:19.045071
225,2020-10-19 09:02:19.789821
226,2020-10-19 09:02:20.507013
227,2020-10-19 09:02:21.351622
228,2020-10-19 09:02:22.089386
229,2020-10-19 09:02:22.834339
230,2020-10-19 09:02:23.591423
231,2020-10-19 09:02:24.321383
232,2020-10-19 09:02:25.072647
233,2020-10-19 09:02:25.828121
234,2020-10-19 09:02:26.582241
235,2020-10-19 09:02:27.390282
236,2020-10-19 09:02:28.121023
