window,latency
0,2020-10-20 10:57:15.134454
1,2020-10-20 10:57:15.771898
2,2020-10-20 10:57:16.462486
3,2020-10-20 10:57:17.313646
4,2020-10-20 10:57:18.103873
5,2020-10-20 10:57:18.990124
6,2020-10-20 10:57:19.862626
7,2020-10-20 10:57:20.792604
8,2020-10-20 10:57:21.966218
9,2020-10-20 10:57:23.102942
10,2020-10-20 10:57:24.310445
11,2020-10-20 10:57:25.390451
12,2020-10-20 10:57:26.354902
13,2020-10-20 10:57:27.197532
14,2020-10-20 10:57:27.750741
15,2020-10-20 10:57:28.315445
16,2020-10-20 10:57:28.878471
17,2020-10-20 10:57:29.514210
18,2020-10-20 10:57:30.046243
19,2020-10-20 10:57:30.667576
20,2020-10-20 10:57:31.216754
21,2020-10-20 10:57:31.727843
22,2020-10-20 10:57:32.238039
23,2020-10-20 10:57:32.733447
24,2020-10-20 10:57:33.222848
25,2020-10-20 10:57:33.761722
26,2020-10-20 10:57:34.297034
27,2020-10-20 10:57:34.837089
28,2020-10-20 10:57:35.371042
29,2020-10-20 10:57:35.900327
30,2020-10-20 10:57:36.506131
31,2020-10-20 10:57:37.099038
32,2020-10-20 10:57:37.674684
33,2020-10-20 10:57:38.252348
34,2020-10-20 10:57:38.886511
35,2020-10-20 10:57:39.518218
36,2020-10-20 10:57:40.182525
37,2020-10-20 10:57:40.831351
38,2020-10-20 10:57:41.534021
39,2020-10-20 10:57:42.327532
40,2020-10-20 10:57:43.000993
41,2020-10-20 10:57:43.587907
42,2020-10-20 10:57:44.243518
43,2020-10-20 10:57:44.788750
44,2020-10-20 10:57:45.344104
45,2020-10-20 10:57:45.951906
46,2020-10-20 10:57:46.577055
47,2020-10-20 10:57:47.122228
48,2020-10-20 10:57:47.712668
49,2020-10-20 10:57:48.264294
50,2020-10-20 10:57:48.798192
51,2020-10-20 10:57:49.334005
52,2020-10-20 10:57:49.882507
53,2020-10-20 10:57:50.508351
54,2020-10-20 10:57:51.110502
55,2020-10-20 10:57:51.633662
56,2020-10-20 10:57:52.181098
57,2020-10-20 10:57:52.725398
58,2020-10-20 10:57:53.278676
59,2020-10-20 10:57:53.821527
60,2020-10-20 10:57:54.371711
61,2020-10-20 10:57:54.908490
62,2020-10-20 10:57:55.472991
63,2020-10-20 10:57:56.043407
64,2020-10-20 10:57:56.526927
65,2020-10-20 10:57:57.041814
66,2020-10-20 10:57:57.546911
67,2020-10-20 10:57:58.099299
68,2020-10-20 10:57:58.652463
69,2020-10-20 10:57:59.209361
70,2020-10-20 10:57:59.785224
71,2020-10-20 10:58:00.343522
72,2020-10-20 10:58:00.925442
73,2020-10-20 10:58:01.494302
74,2020-10-20 10:58:02.065497
75,2020-10-20 10:58:02.622816
76,2020-10-20 10:58:03.205009
77,2020-10-20 10:58:03.752479
78,2020-10-20 10:58:04.282365
79,2020-10-20 10:58:04.804367
80,2020-10-20 10:58:05.339072
81,2020-10-20 10:58:05.872141
82,2020-10-20 10:58:06.400922
83,2020-10-20 10:58:06.809093
84,2020-10-20 10:58:07.239334
85,2020-10-20 10:58:07.686559
86,2020-10-20 10:58:08.196600
87,2020-10-20 10:58:08.648246
88,2020-10-20 10:58:09.111528
89,2020-10-20 10:58:09.571816
90,2020-10-20 10:58:10.078865
91,2020-10-20 10:58:10.562122
92,2020-10-20 10:58:11.085418
93,2020-10-20 10:58:11.597151
94,2020-10-20 10:58:12.098212
95,2020-10-20 10:58:12.628836
96,2020-10-20 10:58:13.169704
97,2020-10-20 10:58:13.735543
98,2020-10-20 10:58:14.280784
99,2020-10-20 10:58:14.848426
100,2020-10-20 10:58:15.401040
101,2020-10-20 10:58:15.972286
102,2020-10-20 10:58:16.541136
103,2020-10-20 10:58:17.125086
104,2020-10-20 10:58:17.696900
105,2020-10-20 10:58:18.255345
106,2020-10-20 10:58:18.849884
107,2020-10-20 10:58:19.457553
108,2020-10-20 10:58:19.936984
109,2020-10-20 10:58:20.470089
110,2020-10-20 10:58:20.963477
111,2020-10-20 10:58:21.473552
112,2020-10-20 10:58:21.999696
113,2020-10-20 10:58:22.518319
114,2020-10-20 10:58:23.059755
115,2020-10-20 10:58:23.681913
116,2020-10-20 10:58:24.274631
117,2020-10-20 10:58:24.852711
118,2020-10-20 10:58:25.457210
119,2020-10-20 10:58:26.081208
120,2020-10-20 10:58:26.697029
121,2020-10-20 10:58:27.313702
122,2020-10-20 10:58:27.911395
123,2020-10-20 10:58:28.500762
124,2020-10-20 10:58:29.082008
125,2020-10-20 10:58:29.641423
126,2020-10-20 10:58:30.195142
127,2020-10-20 10:58:30.771799
128,2020-10-20 10:58:31.341794
129,2020-10-20 10:58:31.885681
130,2020-10-20 10:58:32.396458
131,2020-10-20 10:58:32.862503
132,2020-10-20 10:58:33.343504
133,2020-10-20 10:58:33.817331
134,2020-10-20 10:58:34.322756
135,2020-10-20 10:58:34.818301
136,2020-10-20 10:58:35.304658
137,2020-10-20 10:58:35.805082
138,2020-10-20 10:58:36.293346
139,2020-10-20 10:58:36.785713
140,2020-10-20 10:58:37.296758
141,2020-10-20 10:58:37.807615
142,2020-10-20 10:58:38.326238
