window,latency
0,2020-10-21 10:06:56.732156
1,2020-10-21 10:07:03.337610
2,2020-10-21 10:07:10.295334
3,2020-10-21 10:07:17.028315
4,2020-10-21 10:07:23.508699
5,2020-10-21 10:07:30.496973
6,2020-10-21 10:07:36.433749
7,2020-10-21 10:07:43.861773
8,2020-10-21 10:07:50.479995
9,2020-10-21 10:07:57.251650
10,2020-10-21 10:08:03.901450
11,2020-10-21 10:08:10.592149
12,2020-10-21 10:08:16.927716
13,2020-10-21 10:08:23.627905
14,2020-10-21 10:08:30.085360
15,2020-10-21 10:08:35.993817
16,2020-10-21 10:08:42.590184
17,2020-10-21 10:08:48.753527
18,2020-10-21 10:08:55.538442
19,2020-10-21 10:09:02.109487
20,2020-10-21 10:09:08.745294
21,2020-10-21 10:09:15.275353
22,2020-10-21 10:09:21.741622
23,2020-10-21 10:09:29.010115
24,2020-10-21 10:09:36.471091
25,2020-10-21 10:09:43.018943
26,2020-10-21 10:09:49.601077
27,2020-10-21 10:09:56.552517
28,2020-10-21 10:10:03.499837
29,2020-10-21 10:10:09.918838
30,2020-10-21 10:10:16.330667
31,2020-10-21 10:10:22.701791
32,2020-10-21 10:10:29.035640
33,2020-10-21 10:10:35.547050
34,2020-10-21 10:10:42.008597
35,2020-10-21 10:10:48.335262
36,2020-10-21 10:10:54.789041
37,2020-10-21 10:11:01.250930
38,2020-10-21 10:11:07.403489
39,2020-10-21 10:11:13.100450
40,2020-10-21 10:11:18.758939
41,2020-10-21 10:11:24.471400
42,2020-10-21 10:11:30.142249
43,2020-10-21 10:11:35.818687
44,2020-10-21 10:11:40.706476
45,2020-10-21 10:11:46.366555
46,2020-10-21 10:11:52.033178
47,2020-10-21 10:11:57.684871
48,2020-10-21 10:12:03.354496
49,2020-10-21 10:12:08.532185
50,2020-10-21 10:12:14.667626
51,2020-10-21 10:12:20.319628
52,2020-10-21 10:12:25.965871
53,2020-10-21 10:12:31.646667
54,2020-10-21 10:12:37.312785
55,2020-10-21 10:12:43.132990
56,2020-10-21 10:12:48.808805
57,2020-10-21 10:12:54.458759
58,2020-10-21 10:13:00.102776
59,2020-10-21 10:13:05.798411
60,2020-10-21 10:13:11.436157
61,2020-10-21 10:13:16.926195
62,2020-10-21 10:13:22.575048
63,2020-10-21 10:13:28.229211
64,2020-10-21 10:13:33.872047
65,2020-10-21 10:13:39.529713
66,2020-10-21 10:13:45.191403
67,2020-10-21 10:13:50.828845
68,2020-10-21 10:13:56.477947
69,2020-10-21 10:14:02.146512
70,2020-10-21 10:14:08.000790
71,2020-10-21 10:14:14.141531
72,2020-10-21 10:14:19.771158
73,2020-10-21 10:14:25.416379
74,2020-10-21 10:14:31.063834
75,2020-10-21 10:14:36.719349
76,2020-10-21 10:14:42.377954
77,2020-10-21 10:14:48.796541
78,2020-10-21 10:14:54.468570
79,2020-10-21 10:14:59.628032
80,2020-10-21 10:15:05.280817
81,2020-10-21 10:15:10.939062
82,2020-10-21 10:15:16.578456
83,2020-10-21 10:15:22.218991
84,2020-10-21 10:15:28.349727
85,2020-10-21 10:15:35.090134
86,2020-10-21 10:15:40.743187
87,2020-10-21 10:15:46.388428
88,2020-10-21 10:15:52.026147
89,2020-10-21 10:15:57.663689
90,2020-10-21 10:16:03.282920
91,2020-10-21 10:16:09.009125
92,2020-10-21 10:16:14.687823
93,2020-10-21 10:16:20.355473
94,2020-10-21 10:16:26.009881
95,2020-10-21 10:16:31.688174
96,2020-10-21 10:16:37.412496
97,2020-10-21 10:16:43.795299
98,2020-10-21 10:16:49.631590
99,2020-10-21 10:16:55.255138
