dataset,mean,stdev
0, 26.2072025, 6.5141397831394015
1, 27.7675975, 7.779347107826845
2, 26.0756175, 5.628789807136705
3, 26.6528525, 7.132152630068304
4, 26.067775, 4.594305016630872
