window,mean
212,27.131999999999998
213,32.5542
214,29.3502
215,25.5758
216,24.783799999999996
217,29.269000000000005
218,23.7348
219,29.273400000000002
220,26.112599999999997
221,21.2908
222,25.5448
223,25.685200000000002
224,24.011599999999998
225,23.1284
226,25.2136
227,25.6154
228,24.532
229,27.744400000000002
230,26.8468
231,25.345
232,34.8138
233,23.4236
234,24.9502
235,25.28
236,24.484
237,26.901599999999995
238,23.325599999999998
239,23.5454
240,25.674199999999995
241,26.275600000000004
242,28.9532
243,27.661199999999997
244,27.1702
245,33.00940000000001
246,26.679000000000002
247,25.2338
248,26.945399999999996
249,25.2074
250,25.594
251,25.4606
252,25.0208
253,27.794600000000003
254,35.0516
255,30.95
256,26.744
257,25.0516
258,28.602800000000002
259,29.5494
260,24.178
261,24.8248
262,25.6252
263,25.0576
264,30.3562
265,27.275600000000008
266,27.117200000000004
267,30.872200000000003
268,27.820600000000002
269,23.4922
270,28.436
271,21.8688
272,26.0464
273,24.012
274,23.2212
275,29.149
276,29.0726
277,25.668400000000002
278,25.793799999999997
279,27.336600000000004
280,23.767199999999995
281,23.023000000000003
282,33.6912
283,28.556600000000003
284,33.0588
285,25.0246
286,28.398000000000003
287,30.265800000000002
288,26.549
289,23.7986
290,23.363
291,28.1214
292,25.3392
293,32.9212
294,22.586000000000002
295,26.203000000000003
296,26.8226
297,27.098599999999998
298,26.3842
299,24.2654
300,24.6568
301,26.5178
302,23.788400000000003
303,22.532400000000003
304,24.3392
305,26.632399999999997
306,31.3444
307,27.5502
308,28.321200000000005
309,31.950200000000002
310,33.346199999999996
311,26.9686
312,29.689599999999995
313,24.078000000000003
314,27.2238
315,23.959200000000003
316,27.3624
317,23.9004
318,25.0336
319,24.376800000000003
320,29.3744
321,28.716200000000004
322,26.8962
323,28.2728
324,23.9926
325,23.1426
326,24.0816
327,28.143600000000003
328,25.2832
329,23.9594
330,28.135400000000004
331,25.5568
332,29.1252
333,25.3148
334,26.211000000000002
335,29.363800000000005
336,26.769600000000004
337,26.407600000000002
338,27.6928
339,25.809800000000003
340,31.753999999999998
341,25.8454
342,29.5514
343,27.1834
344,24.3766
345,28.946999999999996
346,28.331400000000002
347,29.418599999999998
348,24.766
349,30.1976
350,29.875600000000002
351,29.068600000000004
352,28.614200000000004
353,23.2322
