dataset,mean,stdev
0, 5.7334024999999995, 1.212240844534056
1, 5.8936075, 1.374554782673348
2, 6.37657, 1.3869731075629248
3, 6.2754449999999995, 1.9560000338204915
4, 6.244759999999999, 1.403130751985687
