dataset,mean,stdev
0, 6.9607874999999995, 1.3491785367971636
1, 6.955839999999999, 1.6165025799166521
2, 6.907095, 1.4158567164720262
3, 7.2278525, 1.8815812194687194
4, 6.9285825, 1.6755088295166398
