window, mean latency
212,7.2448
213,6.0367999999999995
214,5.8432
215,5.6318
216,6.192399999999999
217,5.8414
218,5.800399999999999
219,6.3340000000000005
220,8.047999999999998
221,5.8238
222,6.393999999999999
223,5.995800000000001
224,6.0062
225,5.527999999999999
226,5.7158
227,5.974
228,6.716399999999998
229,5.9804
230,7.277200000000001
231,6.3438
232,6.1908
233,6.4562
234,6.3758
235,5.881
236,6.135
237,5.733199999999999
238,4.8482
239,5.515199999999999
240,4.425400000000001
241,6.386999999999999
242,5.1524
243,4.8254
244,5.013599999999999
245,6.4308000000000005
246,5.809399999999999
247,6.870599999999999
248,6.9786
249,5.7102
250,6.061400000000001
251,5.582800000000001
252,5.4
253,5.693199999999999
254,5.0254
255,6.0318
256,6.1166
257,5.2478
258,6.542599999999998
259,5.4244
260,6.424200000000001
261,6.251599999999999
262,5.323
263,5.436399999999999
264,6.595799999999999
265,6.2114
266,5.598999999999999
267,5.6858
268,4.773999999999999
269,6.1049999999999995
270,4.6462
271,5.6756
272,5.9628
273,6.437
274,5.5294
275,5.9296
276,6.838799999999999
277,6.0096
278,6.760399999999999
279,5.7432
280,6.3886
281,6.139200000000001
282,6.0844
283,7.245
284,6.4201999999999995
285,6.363199999999999
286,6.446
287,6.1348
288,5.8758
289,5.2872
290,6.0008
291,6.506600000000001
292,6.227199999999999
293,6.2021999999999995
294,6.714799999999999
295,6.0784
296,6.3122
297,5.424199999999999
298,5.4186
299,5.9316
300,7.457400000000002
301,6.272599999999999
302,6.238200000000001
303,6.883
304,5.755999999999999
305,6.5398
306,6.2768
307,6.2204
308,8.0398
309,7.100199999999999
310,6.619999999999999
311,6.8896
312,5.989599999999999
313,6.0888
314,5.9277999999999995
315,5.748399999999999
316,5.5028
317,6.157000000000001
318,7.1472
319,6.549199999999999
320,6.5384
321,7.3
322,6.669000000000001
323,6.285200000000001
324,6.9963999999999995
325,6.109
326,6.569799999999999
327,6.644799999999999
328,5.3624
329,6.163200000000001
330,5.5775999999999994
331,5.715799999999999
332,6.029599999999999
333,5.108
334,6.1742
335,4.8271999999999995
336,6.332800000000001
337,6.2738
338,6.7296
339,5.7216
340,6.05
341,5.8648
342,7.0804
343,7.5932
344,6.4276
345,7.4106
346,6.118599999999999
347,6.428399999999999
348,6.548399999999999
349,6.0818
350,6.426599999999999
351,7.2833999999999985
352,10.7366
353,7.0333999999999985
354,5.7476
355,6.5538
356,5.8342
357,6.403999999999998
358,6.4506
359,6.6146
360,6.944799999999999
361,6.312600000000001
362,5.6074
363,5.9108
364,5.086999999999999
365,6.114599999999999
366,5.1824
367,5.715599999999999
368,5.2302
369,5.9925999999999995
370,7.187200000000002
371,6.467999999999999
372,6.4408
373,5.7814
374,5.385199999999999
375,5.866999999999999
376,6.2536000000000005
377,6.461799999999999
378,5.7514
379,7.06
380,6.2738
381,5.6718
382,5.722199999999999
383,5.808999999999999
384,5.8376
385,5.2498000000000005
386,6.428
387,6.5862
388,7.395999999999999
389,6.2722
390,6.3706
391,6.552200000000001
392,5.856
393,5.8751999999999995
394,6.0652
395,6.1516
396,5.958
397,5.1212
398,6.167
399,5.6968000000000005
400,5.193199999999999
401,6.5409999999999995
402,5.605599999999999
403,5.956
404,6.7536000000000005
405,5.3298
406,7.081799999999999
407,5.780199999999999
408,6.4634
409,6.353400000000001
410,6.279599999999999
411,6.726000000000001
412,6.6066
413,7.417399999999999
414,6.5976
415,6.0458
416,5.7216
417,6.0966
418,6.067200000000001
419,6.3796
420,5.575200000000001
421,5.181
422,5.267200000000001
423,5.372
424,5.670599999999999
425,5.1788
426,5.430199999999999
427,6.2498000000000005
428,6.17
429,5.7036
430,5.9336
431,5.4108
432,6.074799999999999
433,6.232999999999999
434,5.252
435,5.4808
436,5.7084
437,6.45
438,5.2982
