window,mean latency
212,6.0174
213,7.249199999999999
214,7.0648
215,6.3118
216,6.697799999999999
217,6.7029999999999985
218,6.6290000000000004
219,7.354000000000001
220,7.586999999999999
221,6.5611999999999995
222,7.055199999999999
223,7.149799999999999
224,6.5384
225,6.4879999999999995
226,7.5402000000000005
227,6.975999999999999
228,6.7918
229,7.136999999999999
230,6.7958
231,6.1554
232,7.6228
233,7.1014
234,6.537000000000001
235,6.9858
236,8.568999999999999
237,6.1492
238,6.1366
239,7.195400000000001
240,6.624599999999999
241,6.376399999999999
242,7.385599999999999
243,6.8031999999999995
244,6.8950000000000005
245,6.705
246,7.4716
247,6.231599999999999
248,6.3224
249,7.9482
250,7.061400000000001
251,5.803799999999998
252,6.853
253,6.780399999999998
254,6.1314
255,6.011799999999999
256,6.226199999999999
257,7.054199999999999
258,6.0802000000000005
259,7.551
260,6.69
261,6.544
262,6.394
263,6.2428
264,6.8282
265,7.2694
266,7.0615999999999985
267,7.343000000000001
268,6.824
269,6.812199999999999
270,7.370200000000001
271,7.374799999999999
272,6.5878
273,6.7074
274,7.663799999999999
275,7.0226
276,7.062399999999999
277,6.935599999999999
278,6.9064
279,6.2806
280,6.8812
281,6.9592
282,6.4574
283,6.215000000000001
284,7.1548
285,6.147
286,6.7787999999999995
287,6.239
288,6.832599999999999
289,6.340999999999999
290,5.9808
291,6.9872
292,6.740599999999999
293,7.415000000000001
294,6.9354
295,7.146599999999999
296,6.6952
297,6.394
298,6.697399999999999
299,6.3402
300,6.1128
301,6.984999999999999
302,6.797
303,6.9746
304,7.294
305,8.5136
306,6.336
307,6.9104
308,7.203200000000001
309,6.845599999999999
310,5.9
311,6.4898
312,6.9959999999999996
313,5.3546
314,5.943
315,5.8774
316,6.490600000000001
317,6.7226
318,7.4826
319,6.6268
320,9.2942
321,7.263
322,6.8565999999999985
323,6.4246
324,7.241199999999999
325,7.5622
326,6.450999999999999
327,7.018999999999998
328,6.3832
329,6.812400000000001
330,6.430400000000001
331,7.003
332,6.4632000000000005
333,6.9806
334,7.499
335,6.747800000000001
336,7.3336000000000015
337,6.747199999999999
338,7.1116
339,6.8618
340,6.975199999999999
341,6.797199999999999
342,6.316
343,8.2172
344,7.017799999999999
345,5.786
346,7.0081999999999995
347,6.8452
348,7.4636
349,6.142799999999999
350,7.506
351,6.7628
352,6.6556
353,6.540000000000001
354,7.141799999999998
355,6.274399999999999
356,6.962599999999999
357,6.435799999999999
358,6.425199999999999
359,6.2092
360,6.9634
361,7.2052000000000005
362,6.502600000000001
363,6.649800000000001
364,6.1494
365,6.799799999999999
366,6.962199999999998
367,6.58
368,6.4853999999999985
369,6.8458
370,7.920999999999999
371,6.442399999999999
372,6.8128
373,6.7856000000000005
374,6.4502
375,6.509
376,7.3178
377,7.0568
378,6.4422
379,6.9122
380,7.018999999999998
381,6.923199999999999
382,6.7294
383,7.209999999999998
384,6.1768
385,7.5922
386,7.044999999999999
387,6.1884
388,6.961
389,7.318
390,6.5154
391,6.875399999999999
392,6.5367999999999995
393,6.583800000000001
394,7.412799999999999
395,5.9444
396,5.966
397,5.911
398,6.819799999999999
399,6.777799999999999
400,6.1982
401,6.458200000000001
402,7.0752
403,7.4262
404,6.9928
405,7.293399999999998
406,7.0372
407,6.746600000000001
408,7.039399999999999
409,7.123400000000001
410,6.8946
411,6.7676
412,6.487199999999999
413,5.674999999999999
414,6.898599999999999
415,7.1736
416,6.667400000000001
417,6.2654
418,6.855199999999999
419,6.627
420,5.802
421,6.6781999999999995
422,6.3684
423,6.603200000000001
424,7.035199999999998
425,7.3462000000000005
426,6.5374
427,6.2896
428,7.818
429,6.872
430,6.6056
431,7.766399999999999
432,7.5775999999999994
433,6.279999999999999
434,6.071999999999999
435,7.485200000000001
436,7.606399999999999
437,6.5262
438,7.2206
439,6.6453999999999995
440,6.376599999999999
441,6.4236
442,6.0736
443,6.4764
444,7.0924
445,7.577599999999999
446,6.9824
447,7.137799999999999
448,6.6014
449,6.735199999999999
450,7.4188
451,6.2968
452,6.3332
453,6.7928
454,5.753400000000001
455,6.759399999999999
456,7.1617999999999995
457,6.5294
458,7.077000000000001
459,6.902999999999999
460,6.2054
461,6.8992
462,6.885800000000001
463,6.966999999999999
464,6.659000000000001
465,7.096799999999999
466,6.459999999999999
467,6.465999999999999
468,6.9238
469,6.882599999999999
470,6.755599999999999
471,6.9372
472,7.2164
473,6.664999999999999
474,6.4078
475,7.444599999999999
476,8.5624
477,6.753
478,6.4146
479,6.4572
480,5.9824
481,6.2494
482,7.044999999999999
483,7.1982
484,6.4792000000000005
485,6.829000000000001
486,6.9441999999999995
487,6.7562
488,7.4276
489,6.3802
490,6.913200000000001
491,6.8208
492,6.4988
493,7.910999999999999
494,5.810199999999999
495,6.641799999999999
496,6.0992
497,7.058399999999999
498,6.743
499,7.1882
500,9.2872
501,8.2304
502,7.4786
503,7.7707999999999995
504,6.2376000000000005
505,7.549799999999999
506,7.351999999999999
507,6.9134
508,6.393199999999999
509,7.5577999999999985
510,6.752600000000001
511,6.356
512,6.3986
513,6.9114
514,6.7002
515,6.030399999999999
516,7.382000000000001
517,6.8312
518,6.5836
519,7.62
520,7.046799999999999
521,7.2021999999999995
522,6.465999999999999
523,6.9286
524,6.5653999999999995
525,7.006599999999999
526,6.334199999999999
527,7.2707999999999995
528,6.4834000000000005
529,6.6274
530,6.2156
531,6.3716
532,5.9403999999999995
533,6.9062
534,6.6506
535,6.416799999999999
536,7.6404
537,6.8634
538,6.960800000000001
539,6.9214
540,7.042
541,6.548
542,6.694
543,6.1586
544,5.7084
545,7.705799999999999
546,7.138800000000001
547,5.9016
548,7.0318
549,6.920999999999999
550,7.066599999999999
551,6.321999999999999
552,7.1274
553,7.356399999999999
554,6.865599999999999
555,6.505
556,6.2678
557,6.888599999999999
558,6.7438
559,7.598399999999998
560,6.9430000000000005
561,6.150799999999999
562,7.0318
563,6.898799999999999
564,6.616
565,6.8068
566,7.125
567,6.5813999999999995
568,6.0218
569,6.2097999999999995
570,6.887599999999999
571,7.0203999999999995
572,6.591200000000001
573,5.8222
574,5.5476
575,7.235600000000001
576,6.125
577,7.2358
578,7.607000000000001
579,6.577799999999999
580,6.6118
581,6.7244
582,6.6654
583,5.9366
584,7.235200000000001
585,7.2783999999999995
586,5.4004
587,6.675999999999999
588,6.558199999999999
589,7.423399999999999
590,6.345599999999999
591,7.126
592,7.607399999999998
593,7.178199999999999
594,7.328199999999998
595,5.609800000000001
596,6.5282
597,5.8116
598,6.743399999999999
599,7.6884
600,7.1688
601,5.983
602,7.014
603,7.266
604,6.659000000000001
605,6.3774
606,10.168800000000001
607,8.164600000000002
608,6.484999999999999
609,6.6964
610,7.024000000000001
611,6.789800000000001
