dataset,mean,stdev
0, 6.5661175, 1.0477149757303625
1, 6.6248024999999995, 1.068650597127331
2, 6.550165, 1.0389127475479083
3, 6.6855899999999995, 1.0458853629250924
4, 7.6083, 1.7146922899234156
