window,latency
0,2020-10-20 09:03:46.078456
1,2020-10-20 09:03:47.038369
2,2020-10-20 09:03:48.095498
3,2020-10-20 09:03:49.172878
4,2020-10-20 09:03:50.119623
5,2020-10-20 09:03:51.281787
6,2020-10-20 09:03:52.228892
7,2020-10-20 09:03:53.366075
8,2020-10-20 09:03:54.393179
9,2020-10-20 09:03:55.406239
10,2020-10-20 09:03:56.237766
11,2020-10-20 09:03:57.088298
12,2020-10-20 09:03:57.921433
13,2020-10-20 09:03:58.576550
14,2020-10-20 09:03:59.311249
15,2020-10-20 09:04:00.136779
16,2020-10-20 09:04:00.870548
17,2020-10-20 09:04:01.604696
18,2020-10-20 09:04:02.391886
19,2020-10-20 09:04:03.248832
20,2020-10-20 09:04:04.014214
21,2020-10-20 09:04:05.026593
22,2020-10-20 09:04:05.790488
23,2020-10-20 09:04:06.938752
24,2020-10-20 09:04:07.917559
25,2020-10-20 09:04:08.819887
26,2020-10-20 09:04:09.550759
27,2020-10-20 09:04:10.392671
28,2020-10-20 09:04:11.123195
29,2020-10-20 09:04:11.869344
30,2020-10-20 09:04:12.669513
31,2020-10-20 09:04:13.518906
32,2020-10-20 09:04:14.345441
33,2020-10-20 09:04:15.148850
34,2020-10-20 09:04:15.907648
35,2020-10-20 09:04:16.647707
36,2020-10-20 09:04:17.385903
37,2020-10-20 09:04:18.155474
38,2020-10-20 09:04:18.995677
39,2020-10-20 09:04:19.738307
40,2020-10-20 09:04:20.524998
41,2020-10-20 09:04:21.268388
42,2020-10-20 09:04:21.911462
43,2020-10-20 09:04:22.671266
44,2020-10-20 09:04:23.399075
45,2020-10-20 09:04:24.238024
46,2020-10-20 09:04:24.884112
47,2020-10-20 09:04:25.729382
48,2020-10-20 09:04:26.500235
49,2020-10-20 09:04:27.441811
50,2020-10-20 09:04:28.262879
51,2020-10-20 09:04:29.069848
52,2020-10-20 09:04:29.815080
53,2020-10-20 09:04:30.566627
54,2020-10-20 09:04:31.338069
55,2020-10-20 09:04:32.132390
56,2020-10-20 09:04:33.057956
57,2020-10-20 09:04:33.885529
58,2020-10-20 09:04:34.643669
59,2020-10-20 09:04:35.386390
60,2020-10-20 09:04:36.165209
61,2020-10-20 09:04:37.068902
62,2020-10-20 09:04:37.959319
63,2020-10-20 09:04:38.834931
64,2020-10-20 09:04:39.437244
65,2020-10-20 09:04:40.291709
66,2020-10-20 09:04:41.030398
67,2020-10-20 09:04:41.791691
68,2020-10-20 09:04:42.529051
69,2020-10-20 09:04:43.269762
70,2020-10-20 09:04:44.033385
71,2020-10-20 09:04:44.788302
72,2020-10-20 09:04:45.541596
73,2020-10-20 09:04:46.290430
74,2020-10-20 09:04:47.030006
75,2020-10-20 09:04:47.814230
76,2020-10-20 09:04:48.657126
77,2020-10-20 09:04:49.593954
